0 0 0
1 35 8192
2 278 8192
3 291 8192
4 320 8192
5 1077 8192
6 1086 8192
7 1112 8192
8 1438 8192
9 1449 8192
10 1668 8192
11 1684 8192
12 1714 8192
13 1761 8192
14 2373 8192
15 2576 8192
16 2588 8192
17 2620 8192
18 3366 8192
19 3354 8192
20 3364 8192
21 3430 8192
22 3211 8192
23 3824 8192
24 3842 8192
25 4112 8192
26 4355 8192
27 4487 8192
28 4615 8192
29 5600 8192
30 5907 8192
31 5945 8192
32 6392 8192
33 6411 8192
34 6364 8192
35 6473 8192
36 6732 8192
37 6473 8192
38 6457 8192
39 6465 8192
40 6526 8192
41 5780 8192
42 5454 8192
43 6332 8192
44 6503 8192
45 6682 16384
46 6938 16384
47 6950 16384
48 6193 16384
49 6567 16384
50 6691 16384
51 6679 16384
52 6547 16384
53 6580 16384
54 6545 16384
55 7092 16384
56 7104 16384
57 6848 16384
58 7618 16384
59 7605 16384
60 7692 16384
61 7835 16384
62 8132 16384
63 8414 16384
64 8867 16384
65 9093 16384
66 8786 16384
67 8796 16384
68 8843 16384
69 8866 16384
70 8876 16384
71 9812 16384
72 9839 16384
73 9807 16384
74 9720 16384
75 10278 16384
76 10255 16384
77 10229 16384
78 10360 16384
79 10996 16384
80 11150 16384
81 10853 16384
82 10864 16384
83 10826 16384
84 10583 16384
85 10598 16384
86 10587 16384
87 10651 16384
88 10425 16384
89 10410 16384
90 10493 16384
91 10552 16384
92 10533 16384
93 10866 16384
94 10839 16384
95 11023 16384
96 11340 16384
97 10727 16384
98 10934 16384
99 9998 16384
100 9968 16384
101 10315 16384
102 10108 16384
103 10129 16384
104 10205 16384
105 10298 16384
106 10286 16384
107 9833 16384
108 9823 16384
109 9757 16384
110 9573 16384
111 9526 16384
112 9515 16384
113 9497 16384
114 9123 16384
115 9113 16384
116 9020 16384
117 9011 16384
118 8241 16384
119 8388 24576
120 8241 24576
121 7694 24576
122 8524 24576
123 7912 24576
124 7758 24576
125 7776 24576
126 7766 24576
127 6781 24576
128 5951 24576
129 6021 24576
130 5850 24576
131 5707 24576
132 5149 24576
133 5088 24576
134 5099 24576
135 5130 24576
136 5159 24576
137 5577 24576
138 5590 24576
139 5257 24576
140 5523 24576
141 5582 24576
142 5339 24576
143 5418 24576
144 5387 24576
145 4751 24576
146 4687 24576
147 4563 24576
148 4603 24576
149 4475 24576
150 4442 24576
151 4575 24576
152 4546 24576
153 4648 24576
154 4378 24576
155 4061 24576
156 3952 24576
157 3961 24576
158 3940 24576
159 3932 24576
160 3944 24576
161 3597 24576
162 3527 24576
163 3468 24576
164 3486 24576
165 3457 24576
166 3039 24576
167 3070 24576
168 2192 24576
169 2061 24576
170 2021 24576
171 2003 24576
172 2588 24576
173 2512 24576
174 2879 24576
175 2796 24576
176 2737 24576
177 2706 24576
178 2693 24576
179 3191 24576
180 3313 24576
181 3234 24576
182 3222 24576
183 2855 24576
184 2753 24576
185 2255 24576
186 2408 24576
187 2229 24576
188 1947 24576
189 1936 24576
190 1814 24576
191 2714 24576
192 2705 24576
193 1805 24576
194 1787 24576
195 1584 24576
196 1137 24576
197 552 24576
198 286 24576
199 133 24576
200 0 24576
